,t,S(t),E(t),I(t),R(t)
0,0,8771761.0,142.0,37.0,30.0
1,1,8761223.436924726,113.29134645735235,77.934045017522,35.305665413757
2,2,8750704.122012801,90.36779724184481,103.10545065995727,44.95716955432811
3,3,8740202.525467092,72.06748633474618,116.85272098791023,56.292540833228955
4,4,8729717.999994276,57.46109846541698,122.46159847538932,67.58753283496188
5,5,8719249.855287412,45.805485465108774,122.40431090941188,77.78827847232155
6,6,8708797.407460129,36.50650126484103,118.52656878803111,86.31202337932046
7,7,8698360.010315593,29.08922994856441,112.19342542219995,92.8997687677984
8,8,8687937.073626919,23.174141504406297,104.4027928518114,97.50831932897081
9,9,8677528.072296655,18.45799930591354,95.87356478728609,100.23209329776174
10,10,8667132.54926264,14.698575795741778,87.11383596781751,101.24728153971783
11,11,8656750.114256248,11.702419508014202,78.47354806121272,100.7726763566324
12,12,8646380.439942623,9.315066437147538,70.18497366067093,99.0428358724107
13,13,8636023.256538322,7.413209066176112,62.393722727563315,96.29029088532924
14,14,8625678.34567704,5.898432917656748,55.1823806614132,92.73430451168862
15,15,8615345.53405281,4.692207958040561,48.58843271866529,88.57431313569828
16,16,8605024.687192649,3.7318843290226003,42.61777080385912,83.98665122210427
17,17,8594715.703581408,2.96749171697535,37.254795868602365,79.12352467219236
18,18,8584418.509268878,2.3591816314010026,32.469906487564735,74.11347284585665
19,19,8574133.053023752,1.8751838957330653,28.22498908930266,69.06276785780786
20,20,8563859.30205394,1.4901743255310984,24.47738783806533,64.05735667505608
21,21,8553597.238282632,1.183971138453319,21.1827243824491,59.165068879790034
22,22,8543346.855150271,0.9404941177091405,18.2968533365273,54.437900028478964
23,23,8533108.154901307,0.7469337470415033,15.777173469810563,49.91424455256817
24,24,8522881.146308836,0.593088101581259,13.583463220284129,45.62099868910526
25,25,8512665.84278837,0.4708337374206193,11.678369198483562,41.575487303084174
26,26,8502462.260852654,0.37370359241667284,10.027645361709839,37.78719197299786
27,27,8492270.418861847,0.2965503275456698,8.600216565616932,34.259273888094185
28,28,8482090.336026784,0.23527787147468626,7.368121715670341,30.989895880129897
29,29,8471922.031626873,0.18662739684351307,6.306377538682701,27.973354748887807
30,30,8461765.524408344,0.14800672811732998,5.392793127394878,25.201039045312857
31,31,8451620.832132569,0.11735439644203077,4.607757134906599,22.662229478672486
32,32,8441487.971248081,0.09303132778398979,3.9340132273261315,20.3447597328346
33,33,8431366.956663532,0.07373456572079709,3.3564346856838014,18.235555168144746
34,34,8421257.8016021,0.058428560794854215,2.8618055251723007,16.321065983182372
35,35,8411160.51752083,0.04629046136423418,2.4386128929525026,14.58761015568402
36,36,8401075.11408105,0.036666562016531706,2.0768535986694743,13.021640045090916
37,37,8391001.599158205,0.02903764136348017,1.7678562564966258,11.609945039313311
38,38,8380939.978881577,0.022991380615168415,1.504119543975754,10.339801145593977
39,39,8370890.257695975,0.018200421103169474,1.2791664108555396,9.199077011678575
40,40,8360852.438438997,0.01440491156101173,1.0874136234438099,8.176304550238111
41,41,8350826.522428702,0.011398629410955333,0.9240557476332576,7.260721143392051
42,42,8340812.50955757,0.009017946483087708,0.7849625117266035,6.442289331781554
